year,gender,series,ours,pub,diff_abs,fail
1980,Female,epop25_54,0.6014265073504117,0.6014265,7.3504117237277455e-9,FALSE
1980,Female,epop55_64,0.3996340825927862,0.3996341,1.7407213781517328e-8,FALSE
1980,Female,epop65,0.07827720567770666,0.0782772,5.677706652051917e-9,FALSE
1980,Female,epop_all,0.47670575451623126,0.4767058,4.548376875135318e-8,FALSE
1981,Female,epop16_24,0.5327207054074152,0.5327207,5.407415182290265e-9,FALSE
1981,Female,epop25_54,0.6116428507234655,0.6116428,5.072346542789319e-8,FALSE
1981,Female,epop55_64,0.3977595863851788,0.3977596,1.361482121486901e-8,FALSE
1981,Female,epop65,0.07717983651226158,0.0771798,3.6512261575305516e-8,FALSE
1981,Female,epop_all,0.4798201274283355,0.4798201,2.7428335491741507e-8,FALSE
1982,Female,epop16_24,0.5196579357822837,0.5196579,3.578228369160996e-8,FALSE
1982,Female,epop25_54,0.6120279904937945,0.612028,9.506205489451247e-9,FALSE
1982,Female,epop55_64,0.3962715922695399,0.3962716,7.730460105381809e-9,FALSE
1982,Female,epop65,0.07638010255044284,0.0763801,2.5504428291522885e-9,FALSE
1982,Female,epop_all,0.4766606426587914,0.4766606,4.265879138820594e-8,FALSE
1983,Female,epop16_24,0.5216130444298533,0.5216131,5.557014670642957e-8,FALSE
1983,Female,epop25_54,0.6198459447213411,0.6198459,4.472134118582716e-8,FALSE
1983,Female,epop55_64,0.39422585590189063,0.3942259,4.4098109386325746e-8,FALSE
1983,Female,epop65,0.07552712318036425,0.0755271,2.3180364253083674e-8,FALSE
1983,Female,epop_all,0.48042188386196066,0.4804219,1.613803934930047e-8,FALSE
1984,Female,epop16_24,0.5442579061855095,0.5442579,6.185509549005985e-9,FALSE
1984,Female,epop25_54,0.6392402394805633,0.6392403,6.051943668428095e-8,FALSE
1984,Female,epop55_64,0.39938817131203264,0.3993882,2.8687967390528257e-8,FALSE
1984,Female,epop65,0.07241930329178652,0.0724193,3.29178651004014e-9,FALSE
1984,Female,epop_all,0.4948802517838281,0.4948803,4.821617188843774e-8,FALSE
1985,Female,epop16_24,0.5542600386759186,0.55426,3.867591857886765e-8,FALSE
1985,Female,epop25_54,0.6531664363928814,0.6531664,3.6392881375135744e-8,FALSE
1985,Female,epop55_64,0.4018556350017024,0.4018556,3.500170242531908e-8,FALSE
1985,Female,epop65,0.07025702256017093,0.070257,2.2560170925833845e-8,FALSE
1985,Female,epop_all,0.5041606213194504,0.5041606,2.131945042727068e-8,FALSE
1986,Female,epop16_24,0.5602845081825016,0.5602845,8.182501676223808e-9,FALSE
1986,Female,epop25_54,0.6663646795917135,0.6663647,2.040828650518023e-8,FALSE
1986,Female,epop55_64,0.40693790149892933,0.4069379,1.4989293140033055e-9,FALSE
1986,Female,epop65,0.07213622291021672,0.0721362,2.2910216723737165e-8,FALSE
1986,Female,epop_all,0.5138148941332855,0.5138149,5.866714447577692e-9,FALSE
1987,Female,epop16_24,0.5705402710154279,0.5705402,7.10154278715791e-8,FALSE
1987,Female,epop25_54,0.682288280834466,0.6822883,1.9165533937659518e-8,FALSE
1987,Female,epop55_64,0.4135039336042189,0.4135039,3.360421890752363e-8,FALSE
1987,Female,epop65,0.0722869628550619,0.072287,3.7144938097588565e-8,FALSE
1987,Female,epop_all,0.5251270174120789,0.525127,1.7412078889833538e-8,FALSE
1988,Female,epop16_24,0.5762539606624021,0.576254,3.9337597956823345e-8,FALSE
1988,Female,epop25_54,0.6932353168171644,0.6932353,1.6817164438798216e-8,FALSE
1988,Female,epop55_64,0.42286862334032144,0.4228686,2.3340321453346746e-8,FALSE
